"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","285","Las_Vegas_Tuesday_20170725","1",2017-07-19 08:29:04
"2","295","Las_Vegas_Tuesday_20170801","2",2017-07-19 08:29:04
"3","290","Las_Vegas_Tuesday_20170808","3",2017-07-19 08:29:04
"4","287","Las_Vegas_Tuesday_20170815","4",2017-07-19 08:29:04
"5","602","New_York_City_Tuesday_20170725","1",2017-07-19 08:29:04
"6","652","New_York_City_Tuesday_20170801","2",2017-07-19 08:29:04
"7","660","New_York_City_Tuesday_20170808","3",2017-07-19 08:29:04
"8","681","New_York_City_Tuesday_20170815","4",2017-07-19 08:29:04
"9","390","Washington_DC_Tuesday_20170725","1",2017-07-19 08:29:04
"10","490","Washington_DC_Tuesday_20170808","3",2017-07-19 08:29:04
"11","500","Washington_DC_Tuesday_20170815","4",2017-07-19 08:29:04
"12","1439","London_Tuesday_20170725","1",2017-07-19 08:29:04
"13","1551","London_Tuesday_20170801","2",2017-07-19 08:29:04
"14","1468","London_Tuesday_20170808","3",2017-07-19 08:29:04
"15","1574","London_Tuesday_20170815","4",2017-07-19 08:29:04
"16","1811","Paris_Tuesday_20170725","1",2017-07-19 08:29:04
"17","2142","Paris_Tuesday_20170801","2",2017-07-19 08:29:04
"18","2088","Paris_Tuesday_20170808","3",2017-07-19 08:29:04
"19","2118","Paris_Tuesday_20170815","4",2017-07-19 08:29:04
"20","539","Berlin_Tuesday_20170725","1",2017-07-19 08:29:04
"21","731","Berlin_Tuesday_20170801","2",2017-07-19 08:29:04
"22","720","Berlin_Tuesday_20170808","3",2017-07-19 08:29:04
"23","714","Berlin_Tuesday_20170815","4",2017-07-19 08:29:04
"24","405","Sydney_Tuesday_20170725","1",2017-07-19 08:29:04
"25","462","Sydney_Tuesday_20170801","2",2017-07-19 08:29:04
"26","420","Sydney_Tuesday_20170808","3",2017-07-19 08:29:04
"27","466","Sydney_Tuesday_20170815","4",2017-07-19 08:29:04
"28","500","Washington_DC_Tuesday_20170801","2",2017-07-19 08:29:04
"29","241","Las_Vegas_Saturday_20170722","1",2017-07-19 08:29:04
"30","69","Las_Vegas_Saturday_20170729","2",2017-07-19 08:29:04
"31","259","Las_Vegas_Saturday_20170805","3",2017-07-19 08:29:04
"32","272","Las_Vegas_Saturday_20170812","4",2017-07-19 08:29:04
"33","577","New_York_City_Saturday_20170722","1",2017-07-19 08:29:04
"34","518","New_York_City_Saturday_20170729","2",2017-07-19 08:29:04
"35","625","New_York_City_Saturday_20170805","3",2017-07-19 08:29:04
"36","627","New_York_City_Saturday_20170812","4",2017-07-19 08:29:04
"37","470","Washington_DC_Saturday_20170722","1",2017-07-19 08:29:04
"38","500","Washington_DC_Saturday_20170729","2",2017-07-19 08:29:04
"39","481","Washington_DC_Saturday_20170805","3",2017-07-19 08:29:04
"40","471","Washington_DC_Saturday_20170812","4",2017-07-19 08:29:04
"41","1207","London_Saturday_20170722","1",2017-07-19 08:29:04
"42","1057","London_Saturday_20170729","2",2017-07-19 08:29:04
"43","1075","London_Saturday_20170805","3",2017-07-19 08:29:04
"44","1172","London_Saturday_20170812","4",2017-07-19 08:29:04
"45","1795","Paris_Saturday_20170722","1",2017-07-19 08:29:04
"46","2089","Paris_Saturday_20170729","2",2017-07-19 08:29:04
"47","2049","Paris_Saturday_20170805","3",2017-07-19 08:29:04
"48","2047","Paris_Saturday_20170812","4",2017-07-19 08:29:04
"49","490","Berlin_Saturday_20170722","1",2017-07-19 08:29:04
"50","533","Berlin_Saturday_20170729","2",2017-07-19 08:29:04
"51","562","Berlin_Saturday_20170805","3",2017-07-19 08:29:04
"52","541","Berlin_Saturday_20170812","4",2017-07-19 08:29:04
"53","333","Sydney_Saturday_20170722","1",2017-07-19 08:29:04
"54","375","Sydney_Saturday_20170729","2",2017-07-19 08:29:04
"55","382","Sydney_Saturday_20170805","3",2017-07-19 08:29:04
"56","315","Sydney_Saturday_20170812","4",2017-07-19 08:29:04
